date	index
20.11.2023	472.81
21.11.2023	470.47
22.11.2023	475.18
23.11.2023	471.79
24.11.2023	471.02
27.11.2023	468.96
28.11.2023	473.39
29.11.2023	480.87
30.11.2023	486.30
1.12.2023	493.74
4.12.2023	494.22
5.12.2023	490.37
6.12.2023	491.03
7.12.2023	490.37
8.12.2023	503.26
11.12.2023	506.79
12.12.2023	510.73
13.12.2023	516.36
14.12.2023	513.68
15.12.2023	515.52
18.12.2023	514.71
19.12.2023	510.52
20.12.2023	507.36
21.12.2023	514.19
22.12.2023	517.72
27.12.2023	525.07
28.12.2023	528.29
29.12.2023	525.56
2.1.2024	530.30
3.1.2024	523.17
4.1.2024	518.94
5.1.2024	521.40
8.1.2024	525.24
9.1.2024	527.86
10.1.2024	527.59
11.1.2024	526.84
12.1.2024	521.77
15.1.2024	529.42
16.1.2024	532.37
17.1.2024	523.56
18.1.2024	527.13
19.1.2024	540.48
22.1.2024	556.12
23.1.2024	560.12
24.1.2024	557.21
25.1.2024	562.29
26.1.2024	554.26
29.1.2024	563.02
30.1.2024	555.25
31.1.2024	542.31
1.2.2024	548.85
2.2.2024	558.92
5.2.2024	551.90
6.2.2024	558.55
7.2.2024	560.97
8.2.2024	569.45
9.2.2024	573.15
12.2.2024	576.33
13.2.2024	570.32
14.2.2024	580.75
15.2.2024	583.17
16.2.2024	574.32
19.2.2024	575.85
20.2.2024	568.32
21.2.2024	562.74
22.2.2024	574.32
23.2.2024	571.78
26.2.2024	574.46
27.2.2024	575.95
28.2.2024	577.63
29.2.2024	587.24
1.3.2024	596.00
4.3.2024	607.91
5.3.2024	592.78
6.3.2024	597.73
7.3.2024	600.44
8.3.2024	596.00
11.3.2024	595.12
12.3.2024	602.81
13.3.2024	597.22
14.3.2024	590.19
15.3.2024	590.45
18.3.2024	589.14
19.3.2024	586.65
20.3.2024	593.40
21.3.2024	602.00
22.3.2024	600.45
25.3.2024	600.50
26.3.2024	599.58
27.3.2024	606.57
2.4.2024	601.98
3.4.2024	601.04
4.4.2024	598.61
5.4.2024	596.57
8.4.2024	591.46
9.4.2024	592.89
10.4.2024	592.23
11.4.2024	594.98
12.4.2024	589.62
15.4.2024	577.16
16.4.2024	566.03
17.4.2024	562.48
18.4.2024	563.97
19.4.2024	547.13
22.4.2024	548.03
23.4.2024	555.56
24.4.2024	563.86
25.4.2024	556.37
26.4.2024	568.21
29.4.2024	569.43
30.4.2024	562.05
2.5.2024	569.29
3.5.2024	571.89
6.5.2024	576.26
7.5.2024	575.05
8.5.2024	577.15
9.5.2024	574.85
10.5.2024	570.24
13.5.2024	571.23
14.5.2024	580.06
15.5.2024	585.44
16.5.2024	586.02
17.5.2024	582.76
20.5.2024	586.03
21.5.2024	581.20
22.5.2024	583.45
23.5.2024	577.16
24.5.2024	579.01
27.5.2024	581.04
28.5.2024	585.07
29.5.2024	582.66
30.5.2024	574.55
31.5.2024	573.29
3.6.2024	573.17
4.6.2024	569.09
5.6.2024	576.91
6.6.2024	574.26
7.6.2024	578.87
10.6.2024	583.39
11.6.2024	579.30
12.6.2024	580.80
13.6.2024	584.19
14.6.2024	586.70
17.6.2024	586.39
18.6.2024	587.51
19.6.2024	588.19
20.6.2024	586.60
21.6.2024	585.93
24.6.2024	571.30
25.6.2024	573.34
26.6.2024	575.34
27.6.2024	576.02
28.6.2024	577.45
1.7.2024	573.90
2.7.2024	572.62
3.7.2024	575.19
4.7.2024	579.63
5.7.2024	578.82
8.7.2024	583.04
9.7.2024	583.18
10.7.2024	586.34
11.7.2024	590.58
12.7.2024	592.49
15.7.2024	594.53
16.7.2024	601.28
17.7.2024	580.97
18.7.2024	572.03
19.7.2024	564.50
22.7.2024	564.73
23.7.2024	568.94
24.7.2024	556.90
25.7.2024	549.12
26.7.2024	551.96
29.7.2024	548.73
30.7.2024	543.55
31.7.2024	550.85
1.8.2024	544.89
2.8.2024	514.18
5.8.2024	478.50
6.8.2024	485.07
7.8.2024	481.31
8.8.2024	488.92
9.8.2024	490.69
12.8.2024	495.58
13.8.2024	505.76
14.8.2024	502.83
15.8.2024	511.96
16.8.2024	517.83
19.8.2024	520.51
20.8.2024	521.71
21.8.2024	523.38
22.8.2024	516.79
23.8.2024	519.79
26.8.2024	516.94
27.8.2024	515.26
28.8.2024	512.74
29.8.2024	515.64
30.8.2024	516.34
2.9.2024	513.75
3.9.2024	501.94
4.9.2024	488.62
5.9.2024	487.95
6.9.2024	480.85
9.9.2024	487.49
10.9.2024	486.95
11.9.2024	490.68
12.9.2024	498.39
13.9.2024	502.30
16.9.2024	501.90
17.9.2024	502.44
18.9.2024	496.64
19.9.2024	504.26
20.9.2024	503.85
23.9.2024	506.68
24.9.2024	510.16
25.9.2024	511.58
26.9.2024	522.24
27.9.2024	523.38
30.9.2024	517.92
1.10.2024	513.05
2.10.2024	514.43
3.10.2024	515.02
4.10.2024	522.61
7.10.2024	524.21
8.10.2024	522.31
9.10.2024	526.10
10.10.2024	525.38
11.10.2024	531.52
14.10.2024	535.51
15.10.2024	533.12
16.10.2024	534.23
17.10.2024	539.87
18.10.2024	538.00
21.10.2024	540.96
22.10.2024	536.52
23.10.2024	534.37
24.10.2024	534.14
25.10.2024	536.77
28.10.2024	541.83
29.10.2024	542.51
30.10.2024	535.43
31.10.2024	530.15
1.11.2024	531.31
4.11.2024	527.00
5.11.2024	533.02
6.11.2024	549.52
7.11.2024	554.62
8.11.2024	556.57
11.11.2024	567.18
12.11.2024	560.01
13.11.2024	553.97
14.11.2024	549.88
15.11.2024	548.00
18.11.2024	547.60
19.11.2024	557.50
20.11.2024	560.18
21.11.2024	567.81
22.11.2024	580.80
25.11.2024	587.67
26.11.2024	579.76
27.11.2024	572.92
28.11.2024	572.62
29.11.2024	574.42
2.12.2024	583.03
3.12.2024	581.72
4.12.2024	589.08
5.12.2024	586.21
6.12.2024	598.29
9.12.2024	589.85
10.12.2024	585.00
11.12.2024	592.49
12.12.2024	590.90
13.12.2024	588.26
16.12.2024	591.16
17.12.2024	598.21
18.12.2024	584.61
19.12.2024	580.70
20.12.2024	585.34
23.12.2024	590.18
24.12.2024	591.07
27.12.2024	583.99
30.12.2024	577.40
31.12.2024	577.05
2.1.2025	587.22
3.1.2025	601.11
6.1.2025	611.67
7.1.2025	606.92
8.1.2025	602.88
9.1.2025	597.75
10.1.2025	590.11
13.1.2025	576.92
14.1.2025	576.54
15.1.2025	589.70
16.1.2025	595.94
17.1.2025	598.30
20.1.2025	604.56
21.1.2025	609.31
22.1.2025	613.72
23.1.2025	615.03
24.1.2025	604.56
27.1.2025	594.66
28.1.2025	601.30
29.1.2025	600.11
30.1.2025	602.22
31.1.2025	599.75
3.2.2025	589.07
4.2.2025	595.60
5.2.2025	606.14
6.2.2025	612.16
7.2.2025	626.55
10.2.2025	635.89
11.2.2025	630.08
12.2.2025	624.86
13.2.2025	632.72
14.2.2025	629.27
17.2.2025	635.38
18.2.2025	645.39
19.2.2025	647.81
20.2.2025	634.86
21.2.2025	625.14
24.2.2025	613.29
25.2.2025	600.71
26.2.2025	604.75
27.2.2025	593.32
28.2.2025	593.77
3.3.2025	575.92
4.3.2025	572.77
5.3.2025	570.74
6.3.2025	551.10
7.3.2025	550.06
10.3.2025	536.78
11.3.2025	532.48
12.3.2025	542.94
13.3.2025	538.08
14.3.2025	552.82
17.3.2025	558.79
18.3.2025	552.46
19.3.2025	556.90
20.3.2025	558.12
21.3.2025	565.86
24.3.2025	566.95
25.3.2025	561.64
26.3.2025	554.50
27.3.2025	545.48
28.3.2025	526.43
31.3.2025	509.84
1.4.2025	518.07
2.4.2025	519.58
3.4.2025	495.95
4.4.2025	473.19
7.4.2025	456.85
8.4.2025	443.39
9.4.2025	458.67
10.4.2025	455.99
11.4.2025	455.45
14.4.2025	465.97
15.4.2025	471.96
16.4.2025	458.28
17.4.2025	464.58
22.4.2025	455.48
23.4.2025	471.17
24.4.2025	479.56
25.4.2025	485.91
28.4.2025	484.60
29.4.2025	489.59
30.4.2025	488.75
1.5.2025	494.22
2.5.2025	503.44
5.5.2025	504.65
6.5.2025	503.74
7.5.2025	505.43
8.5.2025	517.10
9.5.2025	521.65
12.5.2025	547.05
13.5.2025	551.79
14.5.2025	556.73
15.5.2025	554.25
16.5.2025	559.78
19.5.2025	545.88
20.5.2025	545.19
21.5.2025	534.70
22.5.2025	537.07
23.5.2025	532.74
26.5.2025	533.61
27.5.2025	539.47
28.5.2025	541.88
29.5.2025	543.76
30.5.2025	537.55
2.6.2025	535.66
3.6.2025	542.90
4.6.2025	553.93
5.6.2025	557.30
6.6.2025	562.69
9.6.2025	569.45
10.6.2025	572.06
11.6.2025	575.52
12.6.2025	568.40
13.6.2025	555.45
16.6.2025	564.86
17.6.2025	566.47
18.6.2025	574.42
19.6.2025	572.52
20.6.2025	569.42
23.6.2025	567.05
24.6.2025	579.07
25.6.2025	581.06
26.6.2025	582.90
27.6.2025	583.26
30.6.2025	585.78
1.7.2025	578.48
2.7.2025	585.35
3.7.2025	591.04
4.7.2025	587.78
7.7.2025	582.28
8.7.2025	586.89
9.7.2025	588.92
10.7.2025	589.84
11.7.2025	580.67
14.7.2025	583.75
15.7.2025	590.54
16.7.2025	601.05
17.7.2025	607.31
18.7.2025	606.44
21.7.2025	600.93
22.7.2025	597.34
